Acquisition Name,Type,Case Number,Acquirer(s),Target(s) / Vendor(s),M&A Sector,Other Parties,Notification / Application Date,Stage,Acquisition Status,End of Determination Period,Determination Period Calendar Days (ACT),Determination Period Business Days (ACT),Elapsed Calendar Days to Decision,Elapsed Business Days to Decision (ACT),ACCC Determination,Determination Publication Date,ANZSIC Code(s),URL,Decisions and Key Events,Consultation Text,Questionnaire,Consultation Documents,ACCC Page Last Modified,Last Scraped (UTC)
Adyen - Talon.One,Waiver,WA-01098,Adyen N.V.; KvK - 34259528,Talon.One GmbH; HRB - 172085B,Financial Advisory and Broking; Professional Services,,2026-05-08,Waiver application,Assessment completed,,,,17,12,Approved,2026-05-25,6419 Other Auxiliary Finance and Investment Services; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/adyen-talonone,25 May 2026: Notification waiver determination published,,,,2026-05-25T16:40:25+10:00,2026-08-11T01:56:49.469233Z
Cognizant – Astreya,Waiver,WA-70019,"Cognizant Domestic Holdings Corporation; Delaware file number 5221744; Asteroid Merger Sub, Inc.; Delaware file number 10587708","Astreya Partners, Inc.; CIN 770570107",Professional Services,Shareholder Representative Services LLC (as the stockholder representative); 20071132387; Astreya Pty Ltd; Cognizant Technology Solutions,2026-05-07,Waiver application,Assessment completed,,,,14,11,Approved,2026-05-21,7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/cognizant-%E2%80%93-astreya,21 May 2026: Notification waiver determination published,,,,2026-05-21T17:29:40+10:00,2026-08-11T01:56:49.469233Z
"Australian Venue Co – assets of Courthouse Hotel, Newtown NSW",Waiver,WA-50017,AVC OPERATIONS PTY LIMITED; 81 607 832 299,FLOTTO HOLDINGS PTY. LTD. as trustee for Milton Trust; 90 003 868 335; Austlen Pty Limited as trustee for The Courthouse Trust; 120 109 962,Accommodation and Hospitality,Australian Venue Co. Holdings Limited,2026-05-07,Waiver application,Assessment completed,,,,14,11,Approved,2026-05-21,"4511 Cafes and Restaurants; 4520 Pubs, Taverns and Bars",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/australian-venue-co-%E2%80%93-assets-of-courthouse-hotel-newtown-nsw,21 May 2026: Notification waiver determination published,,,,2026-05-21T17:22:36+10:00,2026-08-11T01:56:49.469233Z
Midea Group – Esaote,Waiver,WA-05020,"Midea Imaging Technology (Shanghai) Co., Ltd.; USCC - 91310118MAEN420F3W",Esaote S.p.A.; Codice Fiscale/Partita IVA - 05131180969; Shanghai Lu Zi Enterprise Management Consulting Center; USCC - 91310115MA1K3D4T1W,Manufacturing; Wholesale Trade,"Midea Group (Shanghai) Co., Ltd.; USCC - 91310118MA1JNET8X1; Carestream Healthcare International Company Limited; USCC - 913100007956050379; Midea Medical Technology (Shanghai) Co., Ltd.; USCC - 91310118MAEBMH8U5G; Wansheng Medical Investments (Italy) S.p.A.; Codice Fiscale - 10087620968; Midea Group Co., Ltd.; USCC - 91440606722473344C; Beijing Wandong Medical Technology Co., Ltd.; USCC - 9111000063379674X4; Wansheng Medical Investments (Hong Kong) Limited; Company Registry Identification Number - 2591584",2026-05-07,Waiver application,Assessment completed,,,,14,11,Approved,2026-05-21,2412 Medical and Surgical Equipment Manufacturing; 3491 Professional and Scientific Goods Wholesaling,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/midea-group-%E2%80%93-esaote,21 May 2026: Notification waiver determination published,,,,2026-05-21T17:20:16+10:00,2026-08-11T01:56:49.469233Z
IK Partners - Selatek,Waiver,WA-20019,Goldcup 39483 AB (u.n.c.t. Prometheus BidCo AB); Swedish registration number 559580-5887,SELATEK Holding AB; Swedish registration number: 559332-5987,Professional Services,IK Partners; Deltatec AB; Swedish registration number: 556716-8660,2026-05-07,Waiver application,Assessment completed,,,,20,15,Approved,2026-05-27,6923 Engineering Design and Engineering Consulting Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/ik-partners-selatek,27 May 2026: Notification waiver determination published,,,,2026-05-27T17:05:05+10:00,2026-08-11T01:56:49.469233Z
EPL - Indovida India,Waiver,WA-25023,"EPL Limited; Registered in India, no. L74950MH1982PLC028947","Indovida India Private Limited; Registered in India, no. U22203MH2025PTC455949",Manufacturing,"Petform (Thailand) Limited; Registered in Thailand, no. 0165539000306; Blackstone Inc.; Registered in Delaware, no. 001-3355; Indorama Ventures Public Company Limited; Registered in Thailand, no. 0107552000201; Ngoc Nghia Industry - Service - Trading Joint Stock Company; Registered in Vietnam, no. 0301427028; Epsilon Bidco Pte. Ltd.; Registered in Singapore, no. 201736984W; Indorama Netherland B.V.",2026-05-07,Waiver application,Assessment completed,,,,11,8,Approved,2026-05-18,1911 Polymer Film and Sheet Packaging Material Manufacturing; 1912 Rigid and Semi-Rigid Polymer Product Manufacturing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/epl-indovida-india,18 May 2026: Notification waiver determination published,,,,2026-05-18T17:34:25+10:00,2026-08-11T01:56:49.469233Z
MedHealth – Connect Allied Health,Waiver,WA-30014,MedHealth Pty Limited; 32 141 219 785,CONNECT ALLIED HEALTH PTY LTD; 70 611 517 232,Aged Care,ExamWorks Group Inc,2026-05-06,Waiver application,Assessment completed,,,,15,12,Approved,2026-05-21,8539 Other Allied Health Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/medhealth-%E2%80%93-connect-allied-health,21 May 2026: Notification waiver determination published,,,,2026-05-21T17:17:49+10:00,2026-08-11T01:56:49.469233Z
RDO Australia – freehold land and buildings of three commercial truck dealership sites in West Wodonga VIC,Waiver,WA-45014,RDO AUSTRALIA PROPERTY HOLDINGS NO 2 PTY LTD; 28 633 633 753,CD & JB INVESTMENTS PTY LTD; 630 465 815,Property and Real Estate,,2026-05-06,Waiver application,Assessment completed,,,,33,22,Approved,2026-06-08,6712 Non-Residential Property Operators,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/rdo-australia-%E2%80%93-freehold-land-and-buildings-of-three-commercial-truck-dealership-sites-in-west-wodonga-vic,8 Jun 2026: Notification waiver determination published,,,,2026-06-08T16:48:32+10:00,2026-08-11T01:56:49.469233Z
3M and funds managed and/or advised by Bain Capital - Madison Fire & Rescue,Notification,MN-15015,"Fire Safety Platform Holding, LP; State of Delaware, Division of Corporations - 10541621","Madison Safety & Flow Holdings LLC; State of Delaware, Division of Corporations - 7811257",Manufacturing; Wholesale Trade; Government and Defence,"Bain Capital Investors, LLC; IRS EIN - 81-2878769; Madison Industrial Solutions Corporation; State of Delaware, Division of Corporations - 5633530; 3M Company; IRS EIN - 41-041777",2026-05-06,Phase 1 - initial assessment,Assessment completed,,,,29,21,Approved,2026-06-04,2419 Other Professional and Scientific Equipment Manufacturing; 3499 Other Machinery and Equipment Wholesaling n.e.c.; 7713 Fire Protection and Other Emergency Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/3m-and-funds-managed-andor-advised-by-bain-capital-madison-fire-rescue,4 Jun 2026: 3M and funds managed and/or advised by Bain Capital - Madison Fire & Rescue - Phase 1 determination,,,,2026-06-04T16:38:14+10:00,2026-08-11T01:56:49.469233Z
Macquarie Asset Management led consortium – Qube,Notification,MN-10007,RUBIK AUSTRALIA PTY LIMITED; 66 694 531 792,QUBE HOLDINGS LIMITED; 14 149 723 053,Transport and Logistics,,2026-05-06,Phase 1 - initial assessment,Assessment completed,,,,42,29,Approved,2026-06-17,4610 Road Freight Transport; 4710 Rail Freight Transport; 5211 Stevedoring Services; 5212 Port and Water Transport Terminal Operations; 5292 Freight Forwarding Services; 5299 Other Transport Support Services n.e.c.; 5301 Grain Storage Services; 5309 Other Warehousing and Storage Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/macquarie-asset-management-led-consortium-%E2%80%93-qube,17 Jun 2026: Macquarie Asset Management led consortium - Qube - Phase 1 determination,,,,2026-06-17T17:47:29+10:00,2026-08-11T01:56:49.469233Z
Medtronic - Scientia,Notification,MN-80010,"Project Saint Merger Sub, Inc.; 10489040; United States Surgical Corporation; 13-2518270; Medtronic plc; 98-1183488","Scientia Vascular, Inc.; 5931868",Manufacturing,,2026-05-05,Phase 1 - initial assessment,Assessment completed,,,,23,18,Approved,2026-05-28,2412 Medical and Surgical Equipment Manufacturing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/medtronic-scientia,28 May 2026: Medtronic - Scientia - Phase 1 determination,,,,2026-05-28T16:41:20+10:00,2026-08-11T01:56:49.469233Z
"National Dental Care – business assets comprising the Cambridge Dental Centre clinic, Perth, WA",Waiver,WA-70017,NDC AUSTRALIA PTY LIMITED; 49 162 955 866,CAMDENT SERVICES UNIT TRUST; 37 559 915 898,Aged Care,NDC SERVICE CO PTY LIMITED; 11 162 958 072; NATIONAL DENTAL CARE LIMITED; 89 160 442 071; NDC HOLDCO PTY LTD; 13 654 148 188; NDC FINCO PTY LTD; 14 654 149 818; NDC PROPERTY CO PTY LIMITED; 68 163 264 097,2026-05-04,Waiver application,Assessment completed,,,,15,12,Approved,2026-05-19,8531 Dental Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/national-dental-care-%E2%80%93-business-assets-comprising-the-cambridge-dental-centre-clinic-perth-wa,19 May 2026: Notification waiver determination published,,,,2026-05-19T17:12:11+10:00,2026-08-11T01:56:49.469233Z
WPF Duratec - Pacific Welding (Davhold Australia),Notification,MN-75018,WPF DURATEC PTY LTD; 87 082 800 397,Davhold Australia Pty Ltd; 12 146 239 223,Manufacturing,Grant Davies; Ryan Jones,2026-05-04,Phase 1 - initial assessment,Assessment completed,,,,,,Approved,,2122 Steel Pipe and Tube Manufacturing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/wpf-duratec-pacific-welding-davhold-australia,9 Jun 2026: WPF Duratec - Pacific Welding - Phase 1 determination,,,,2026-06-09T16:35:40+10:00,2026-08-11T01:56:49.469233Z
News Corp – acquisition of 20% of National Distribution Services,Notification,MN-35014,NEWS PTY LIMITED; 47 007 871 178,NATIONAL DISTRIBUTION SERVICES PTY LTD; 66 633 619 333,Transport and Logistics; Media and Entertainment; Professional Services,NATIONWIDE NEWS PTY. LIMITED; 98 008 438 828,2026-05-04,Phase 1 - initial assessment,Assessment completed,,,,36,25,Approved,2026-06-09,4610 Road Freight Transport; 5102 Courier Pick-up and Delivery Services; 5412 Magazine and Other Periodical Publishing; 6940 Advertising Services; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/news-corp-%E2%80%93-acquisition-of-20-of-national-distribution-services,9 Jun 2026: News Corp-20% interest in National Distribution Services - Phase 1 determination,,,,2026-06-09T12:08:09+10:00,2026-08-11T01:56:49.469233Z
Wipro - Indeco,Waiver,WA-35016,"Wipro Pari Italy S.r.l.; Companies Register of Emilia no. 05595980284; Wipro Enterprises Private Limited; Registrar of Companies, Karnataka at Bangalore no. U15141KA2010PTC054808",Indeco Ind S.p.A.; Companies Register of Bari no. 05949910722,Manufacturing; Professional Services,WIPRO LTD; 18 093 961 936; Indeco Australia Pty Ltd,2026-05-01,Waiver application,Assessment completed,,,,25,18,Approved,2026-05-26,2462 Mining and Construction Machinery Manufacturing; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/wipro-indeco,26 May 2026: Notification waiver determination published,,,,2026-05-26T17:19:44+10:00,2026-08-11T01:56:49.469233Z
Oracle – Leasehold interest in AirTrunk data centre,Waiver,WA-50016,ORACLE CORPORATION AUSTRALIA PTY LIMITED; 80 003 074 468,AIRTRUNK SYD3 PTY LTD; 22 652 550 402,Property and Real Estate,,2026-05-01,Waiver application,Assessment completed,,,,31,21,Approved,2026-06-01,6712 Non-Residential Property Operators,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/oracle-%E2%80%93-leasehold-interest-in-airtrunk-data-centre,1 Jun 2026: Notification waiver determination published,,,,2026-06-01T17:17:15+10:00,2026-08-11T01:56:49.469233Z
Quadrant Private Equity - Stanley International College,Waiver,WA-01097,Swan Bidco Pty Ltd; 99 634 920 773,Stanley International College Pty Ltd; 16 130 977 221,Asset Management and Investment; Education and Training,Swan Topco Pty Ltd; 682 241 612; Kaishwer Pty Ltd; 17 142 301 371; Swan Midco Pty Ltd; 682 241 621; BARRIJAG PTY. LIMITED & QPE GROWTH 3 GP PTY LIMITED & QPE GROWTH 3 LP PTY LIMITED; 42 453 976 426; Chintalia Pty Ltd; 94 147 049 698,2026-04-30,Waiver application,Assessment completed,,,,18,13,Approved,2026-05-18,6240 Financial Asset Investing; 8101 Technical and Vocational Education and Training; 8102 Higher Education; 8220 Educational Support Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/quadrant-private-equity-stanley-international-college,18 May 2026: Notification waiver determination published,,,,2026-05-18T17:38:26+10:00,2026-08-11T01:56:49.469233Z
Nuveen – Schroders,Waiver,WA-25022,Pantheon LLC; 10488789,Schroders plc; 03909886,Asset Management and Investment,"Nuveen, LLC; 5572656; Teachers Insurance and Annuity Association of America (TIAA); FEIN 13-1624203",2026-04-30,Waiver application,Assessment completed,,,,15,12,Approved,2026-05-15,6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/nuveen-%E2%80%93-schroders,15 May 2026: Notification waiver determination published,,,,2026-05-15T17:33:44+10:00,2026-08-11T01:56:49.469233Z
Paramount Skydance - Warner Bros. Discovery,Notification,MN-45006,Paramount Skydance Corporation; Commercial / Trade Register Number - 10426606,"Warner Bros. Discovery, Inc.; Delaware Division of Corporations File Number - 4540106",Media and Entertainment; Technology and Software; Property and Real Estate; Professional Services,"Annapurna Pictures, LLC; Delaware Division of Corporations File Number - 6312854",2026-04-29,Phase 1 - initial assessment,Assessment completed,,,,41,28,Approved,2026-06-09,5511 Motion Picture and Video Production; 5512 Motion Picture and Video Distribution; 5514 Post-production Services and Other Motion Picture and Video Activities; 5621 Free-to-Air Television Broadcasting; 5622 Cable and Other Subscription Broadcasting; 5921 Data Processing and Web Hosting Services; 6640 Non-Financial Intangible Assets (Except Copyrights) Leasing; 6940 Advertising Services; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/paramount-skydance-warner-bros-discovery,9 Jun 2026: Paramount Skydance-Warner Bros Discovery - Phase 1 determination,,,,2026-06-09T17:21:45+10:00,2026-08-11T01:56:49.469233Z
Constellation Software - DerbySoft Holdings,Waiver,WA-90014,Sail Parent Holdco Ltd; UK Company Registration Number 17112723,DerbySoft Holdings Limited; Cayman Islands Company Registration Number CF-172438,Technology and Software; Asset Management and Investment,DerbySoft (Shanghai) Co. Limited; Chinese Unified Social Credit Code 913101157456256621; Constellation Software Inc.; Canada Business Number 891148553; CONSTELLATION SOFTWARE AUSTRALIA PTY LTD; 50 141 627 232; Vela Software International Inc.; Canada Business Number 1998439; DerbySoft Inc.; Wyoming Filing ID 2011-000595814; DerbySoft (Hong Kong) Limited; Hong Kong Business Registration Certificate Number: 65942924-000-04-24-2,2026-04-29,Waiver application,Assessment completed,,,,16,13,Approved,2026-05-15,5420 Software Publishing; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/constellation-software-derbysoft-holdings,15 May 2026: Notification waiver determination published,,,,2026-05-15T17:49:17+10:00,2026-08-11T01:56:49.469233Z
TMX - Cboe Australia,Waiver,WA-05019,TMX Markets Australia Pty Ltd; 696 940 637,"Middlebury Holdings Pty Limited; 62 610 399 034; Cboe Asia Pacific Holdings Limited, Hong Kong; BRN 65691773; Omicron Acquisition Corp. Delaware; EIN 4936927",Financial Advisory and Broking,,2026-04-29,Waiver application,Assessment completed,,,,16,13,Approved,2026-05-15,6419 Other Auxiliary Finance and Investment Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/tmx-cboe-australia,15 May 2026: Notification waiver determination published,,,,2026-05-15T17:26:56+10:00,2026-08-11T01:56:49.469233Z
Barro Group - BQC Quarries and Burdekin Concrete,Notification,MN-60011,BQC Group Pty Ltd [yet to be incorporated],M&T Populin Pty Ltd; 092 648 078; BQC Registrations Pty Ltd; 613 361 041; TWIN ROCK PTY. LTD.; 84 092 733 867; BQC SANDS PTY LTD; 92 662 904 190; BURDEKIN CONCRETE PTY. LTD.; 25 010 095 253; COLEVALE ESTATES PTY LTD & M & T POPULIN PTY LTD & TWIN ROCK PTY LTD; 14 440 726 153,Mining; Manufacturing,Barro Group Pty Ltd; 005 105 724; MT. MARROW BLUE METAL QUARRIES PTY. LTD.; 64 004 879 930,2026-04-28,Phase 1 - initial assessment,Assessment completed,,,,,,Approved,,0911 Gravel and Sand Quarrying; 0919 Other Construction Material Mining; 2033 Ready-Mixed Concrete Manufacturing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/barro-group-bqc-quarries-and-burdekin-concrete,3 Jun 2026: Barro - BQC Quarries and Burdekin Concrete - Phase 1 determination,,,,2026-06-04T10:59:48+10:00,2026-08-11T01:56:49.469233Z
